TopicId,Answers,AnswerId
4518,Taco Bell,1
4518,Wendy's,2
4518,Subway,3
4518,Pye ,4
4518,Creda ,5
4518,Heinz Big Soup ,6
4519,Swan Vesta ,1
4519,Benson & Hedges,2
4519,Nicorette,3
4519,Kellogg's Special K ,4
4519,Milky Bars,5
4519,Nicorette,6
4520,Xerox,1
4520,UHU,2
4520,Yellow Pages ,3
4520,Bran Flakes,4
4520,Wembley Ties,5
4520,"Playtex, Cross Your Heart ",6
4521,Pears’ Soap,1
4521,Sure ,2
4521,Wilkinson Sword,3
4521,Wilkinson Sword,4
4521,Taco Bell,5
4521,McVities Homewheat,6
4522,Volkswagen ,1
4522,Jeep,2
4522,Dodge,3
4522,Pittsburgh Garters ,4
4522,Adola ,5
4522,Persil,6
4523,J&B Scotch,1
4523,Seagram's 7 Crown ,2
4523,Dewar’s Scotch Whisky ,3
4523,Fresh Cream Cakes ,4
4523,Flash,5
4523,Findus ,6
4524,Lipton’s,1
4524,P.G. Tips,2
4524,Typhoo,3
4524,Oldsmobile,4
4524,Cabbage Patch Dolls,5
4524,Shell ,6
4525,Packard ,1
4525,Oldsmobile,2
4525,Edsel,3
4525,R&K Originals ,4
4525,Lipton’s,5
4525,Xerox,6
4526,Westminster Socks,1
4526,Jockey Shorts,2
4526,Mohara Suits,3
4526,Wheaties ,4
4526,Fruit of the Loom,5
4526,Dilly Beans,6
4527,Old Gold,1
4527,Benson & Hedges ,2
4527,Marlboro ,3
4527,A-1 sauce,4
4527,Hacks ,5
4527,Heinz Beans,6
4528,Allen's Foot Ease,1
4528,Start-Rite Shoes ,2
4528,Kiwi Shoe Polish ,3
4528,Utica,4
4528,Crawford's Cheddars,5
4528,Michelob,6
4529,Levi’s,1
4529,Sears Roebuck,2
4529,Adola ,3
4529,Danone,4
4529,Jeep,5
4529,Lyle’s Golden Syrup ,6
4530,Utica,1
4530,Carling's Ale ,2
4530,William Gratz ,3
4530,Kiwi Shoe Polish ,4
4530,ICI,5
4530,Old Gold,6
4531,A-1 sauce,1
4531,Lea & Perrin's ,2
4531,Burma Sauce,3
4531,Chevrolet,4
4531,Jockey Shorts,5
4531,Bromo-Seltzer ,6
4532,Sprite ,1
4532,Welch,2
4532,Canada Dry ,3
4532,Hoover Vacuum Cleaner,4
4532,Tunes ,5
4532,Typhoo,6
4533,Pittsburgh Garters ,1
4533,Postman's,2
4533,B F Spencer,3
4533,Seagram's 7 Crown ,4
4533,Kellogg's,5
4533,Ryvita,6
4534,Wheaties ,1
4534,Bran Flakes,2
4534,Kellogg's,3
4534,Marlboro ,4
4534,B F Spencer,5
4534,Yellow Pages ,6
4535,Smarties ,1
4535,Cracker Jack ,2
4535,Milky Bars,3
4535,Tefal,4
4535,Volkswagen,5
4535,UHU,6
4536,Maggi's,1
4536,Campbell's,2
4536,Heinz Big Soup ,3
4536,J&B Scotch,4
4536,Kraft,5
