TopicId,Answers,AnswerId
316,28,1
316,Alexander Selkirk,2
316,200,3
316,14,4
316,50,5
316,Chuck Noland,6
856,Lady Chatterley's Lover,1
856,Women in Love,2
856,New Mexico,3
856,Sons and Lovers,4
856,Texas,5
856,The Lost Girl,6
991,Sitting Bull ,1
991,Buffalo Bill's Wild West Show,2
991,Maryland ,3
991,Geronimo,4
991,Bronco Billy's Wild West Show,5
991,Indianna ,6
1126, True ,1
1126,Ichthyosaur,2
1126,Extinction,3
1126,False ,4
1126,Pterosaur,5
1126,Evolution,6
1666,16,1
1666,San Francisco 49ers,2
1666,True ,3
1666,14,4
1666,Kansas City Chiefs,5
1666,False   ,6
362,French Revolution,1
362,Panama Canal,2
362,The Cassandra Crossing ,3
362,The Bridge at Remagen,4
362,Eiffel Tower,5
362,Napoleon,6
947,Jo,1
947,Sleepy Hollow,2
947,A.M.Barnard,3
947,Beth,4
947,Fort Smith,5
947,Erin Hunter ,6
1127,Oxygen & Hydrogen,1
1127,Metric system,2
1127,Maximilien Robespierre,3
1127,Nitrogen and Hydrogen,4
1127,Cartographic system,5
1127,Bertrand Barere,6
363,Portsmouth,1
363,Bristol,2
363,Paddington,3
363,London Bridge,4
363,Plymouth,5
363,,6
948,James Fenimore Cooper,1
948,Wampum,2
948,True ,3
948,Charles Eastman,4
948,Sedona ,5
948,False   ,6
1128,Iowa,1
1128,Time,2
1128,Peanut,3
1128,Pennsylvania,4
1128,The New Yorker,5
1128,Soy Beans,6
1533,Ferdinand Magellan,1
1533,Left ,2
1533,Quechua ,3
1533,Francisco Moreno,4
1533,Right,5
1533,Wajarri,6
364,Pelican,1
364,Spanish,2
364,Buckland Abby,3
364,Elizabeth I,4
364,Judith,5
364,Sherborne Castle,6
1129,Sickle Cell Anaemia,1
1129,Manhattan Project,2
1129,Electronegativity Scale,3
1129,Marfan syndrome,4
1129,Chicago Project,5
1129,Covalent Scale,6
1669,99.94,1
1669,Bodyline,2
1669,Muttiah Muralitharan,3
1669,61.87,4
1669,Spin & Swing,5
1669,Wasim Akram,6
50,Abraham Lincoln,1
50,Origin of the Species,2
50,Edinburgh,3
50,Cambridge,4
50,Lyndon B. Johnson,5
50,The Descent of Man,6
365,Lazio,1
365,Clara Petacci,2
365,Switzerland,3
365,Roma,4
365,Margherita Sarfatti,5
365,Sweden,6
770,Eleanor Roosevelt,1
770,Martha Washington,2
770,Martha Jefferson,3
770,Louisa Adams,4
770,,5
770,,6
1175,Puccini,1
1175,Sarah Bernhardt,2
1175,Napoleon's laundress,3
1175,Anna Judic,4
1175,Umberto Giordano,5
1175,stage actress ,6
1400,Fats Waller,1
1400,George 'Bugs' Moran,2
1400,Calvin Coolidge,3
1400,Thelonious Monk,4
1400,Earl 'Hymie' Weiss,5
1400,Herbert Hoover,6
366,Ernesto,1
366,Chess,2
366,Argentina,3
366,Antonio,4
366,Badminton,5
366,Panama,6
996,Wood ,1
996,flageolet,2
996,Dr Jekyll and Mr Hyde ,3
996,Ivory,4
996,zampona,5
996,Kidnapped,6
1446,Danish,1
1446,Either/Or,2
1446,state controlled religion,3
1446,Swedish,4
1446,Fear & Trembling,5
1446,it didn't account for evolution ,6
53,Calculus,1
53,Xmas Day,2
53,Philosopher's Stone,3
53,Elixir of Life,4
53,January 4th,5
53,Optics,6
684,less than 1hr,1
684,Queen Liliuokalani,2
684,Alexander the Great,3
684,66 days,4
684,Hannibal,5
684,Queen Kaahumanu,6
954,37,1
954,Comtesse de La Motte,2
954,4ft,3
954,42,4
954,Milady de Winter,5
954,3ft,6
1000,Edward,1
1000,Hundred Acre Wood,2
1000,MI7B,3
1000,Roo,4
1000,Forbidden Forest,5
1000,MI7,6
1181,True ,1
1181,The Unfinished Symphony,2
1181,Ludwig van Beethoven,3
1181,False   ,4
1181,The Tragic Symphony,5
1181,J.S. Bach,6
462,Six,1
462,James V,2
462,Eighteen,3
462,Nine,4
462,James IV,5
462,,6
912,The Squaw Man,1
912,Golden Globe,2
912,Victor Mature,3
912,King of Kings,4
912,Oscar,5
912,Charlton Heston,6
957,For Whom the Bell Tolls,1
957,The Dangerous Summer,2
957,Argo,3
957,A Farewell to Arms ,4
957,The Fifth Column,5
957,Pilar,6
913,Crimean War ,1
913,Lady of the Lamp ,2
913,Royal Red Cross ,3
913,War of Eight Saints,4
913,Lady of Grace of the Order of St John,5
913,Order of Merit,6
1455,Don Quixote,1
1455,5 yrs.,2
1455,Cardenio,3
1455,Rocinante,4
1455,2 yrs.,5
1455,Friston,6
1006,True ,1
1006,January,2
1006,Why I Oppose the War In Vietnam,3
1006,False ,4
1006,July,5
1006,"If Evolution is Outlawed, Only Outlaws Will Evolve",6
340,NINE,1
340,Penny Black,2
340,Alexandrina,3
340,SEVEN,4
340,Mary,5
340,Penny Red,6
1851,64th C.,1
1851,Flash,2
1851,The Rogues,3
1851,35th C.,4
1851,Scarlet Speedster,5
1851,Reverse-Flash,6
1852,Whirlen Merlin Magic Academy,1
1852,Velma,2
1852,Giant Griffin,3
1852,Calloway Military Academy,4
1852,Daphne,5
1852,Sammy the Shrimp,6
1853,Snow White and the Huntsman,1
1853,Tabor,2
1853,Freya,3
1853,The Huntsman: Winter's War,4
1853,Asgard,5
1853,Sara,6
1854,14,1
1854,Felice Peretti (Pope Sixtus V),2
1854,3797,3
1854,16,4
1854,Gregorius Anicius (Pope Gregory 1),5
1854,2582,6
1855,Charges of Heresy by the Inquisition,1
1855,Catherine de Medici,2
1855,1566,3
1855,Bubonic Plague,4
1855,Louise of Lorraine ,5
1855,1572,6
1856,Matilda,1
1856,Miss Honey,2
1856,Five,3
1856,Kevin McCallister,4
1856,Harry Wormwood,5
1856,Six,6
1857,Raphael Hythloday,1
1857,Plato,2
1857,The City of the Sun,3
1857,Rupert Campbell-Black,4
1857,Aristotle,5
1857,New Atlantis,6
1858,Tintin,1
1858,Evanora,2
1858,Jareth,3
1858,Popeye,4
1858,Theodora,5
1858,Mekon,6
1859,Charles Dickens,1
1859,Glinda,2
1859,Pinocchio,3
1859,C.S. Lewis,4
1859,Tattypoo,5
1859,Tom Thumb,6
1860,Cassie Blake,1
1860,Amelia Bones,2
1860,Goosebumps,3
1860,Diana Meade,4
1860,Charity Burbage,5
1860,Circle of Three,6
1861,Daughters of the Moon,1
1861,The Wardstone Chronicles,2
1861,Engelfors,3
1861,Circle of Three,4
1861,Twitches,5
1861,Sabriel,6
1862,Tanya Grotter,1
1862,Tibidox,2
1862,Dmitry Yemets,3
1862,Lolly Willowes,4
1862,Scholomance,5
1862,Andrei Belyanin,6
1863,Albus Dumbledore,1
1863,Lord Voldemort,2
1863,Dudley Dursley,3
1863,Gilderoy Lockhart,4
1863,Newt Scamander,5
1863,Bartemius Crouch,6
1864,The Silver Chair,1
1864,Eldh,2
1864,The Witches of Karres,3
1864,The Magician's Nephew,4
1864,Fionavar,5
1864,Pandora's Star,6
1865,Seven,1
1865,Cair Paravel,2
1865,Calormen,3
1865,Five ,4
1865,Bism,5
1865,Archenland,6
1866,The Vampire Diaries,1
1866,Garry Kilworth,2
1866,Enchanted Forest Chronicles,3
1866,Discworld,4
1866,Terry Pratchett,5
1866,Twilight,6
1867,Zemenar,1
1867,Morwen,2
1867,Kazul,3
1867,Telemain,4
1867,Shiara,5
1867,Woraug,6
1868,Discworld,1
1868,Rincewind,2
1868,Black Aliss,3
1868,Nettle,4
1868,Tiffany Aching,5
1868,Ersulie Gogol,6
1869,Cat,1
1869,Elephant,2
1869,Zaratan,3
1869,Dog,4
1869,Lion,5
1869,Ziz,6
1870,Stardust ,1
1870,The Worst Witch,2
1870,The Chronicles of Prydain,3
1870,Winnie the Witch,4
1870,The Sea Witch,5
1870,The Raven Cycle,6
1871,The Raven Boys,1
1871,Queen Ziki of Ix,2
1871,Once Upon A Time,3
1871,Mistborn,4
1871,Queen Lulea of Ix,5
1871,The Silmarillion,6
1872,Polygara,1
1872,Dime Store Magic,2
1872,Xayide,3
1872,Vo Mimbre,4
1872,The Raven Cycle,5
1872,A Wizard of Earthsea,6
1873,P.L.Travers,1
1873,Julie Andrews,2
1873,a horse race,3
1873,L. Frank Baum,4
1873,Ashley Brown,5
1873,a game of croquet,6
1874,Nanny McPhee,1
1874,Great Aunt Adelaide,2
1874,Selma Quickly,3
1874,Mary Poppins,4
1874,Aunt Minerva,5
1874,Evangeline,6
1875,Lemony Snicket,1
1875,Bertrand Baudelaire,2
1875,Count Olaf,3
1875,Arthur Poe,4
1875,Dr Montgomery Montgomery,5
1875,Sunny Baudelaire,6
1876,Willo the Wisp ,1
1876,The Faraway Tree ,2
1876,Della Burford,3
1876,Channel Chuckles,4
1876,Noddy,5
1876,Frances Hodgson Burnett,6
1877,Jafar & Cruella De Vil,1
1877,Babes in Toyland,2
1877,Brigadoon,3
1877,Opal Koboi & Cruella De Vil,4
1877,Candide,5
1877,Never-Never Land,6
1878,Shrek ,1
1878,Donkey,2
1878,Doctor De Soto,3
1878,Jack and the Beanstalk,4
1878,Elephant,5
1878,Mappy,6
1879,Jennifer J. Stewart,1
1879,Worsel Gummidge,2
1879,Madame d'Aulnoy,3
1879,Barbara Euphan Todd,4
1879,Catweazel,5
1879,Grimm Brothers,6
1880,Bednobs and Broomsticks,1
1880,Finian's Rainbow,2
1880,Fantasia,3
1880,Doctor Dolittle,4
1880,Xanadu,5
1880,The Sorceror's Apprentice,6
1881,Piano,1
1881,The Slipper and the Rose ,2
1881,Cabin in the Sky ,3
1881,Saxophone,4
1881,Quest for Camelot,5
1881,Jem and the Holograms,6
1882,Pufnstuf,1
1882,Meet the Small Potatoes,2
1882,Mouse,3
1882,Into The Woods,4
1882,Babes in Toyland,5
1882,Pig,6
1883,Rumpelstiskin,1
1883,Jack-in-the-box,2
1883,Sleeping Beauty,3
1883,Rapuznel,4
1883,Toy Clown,5
1883,The Princess and the Frog,6
1884,Tinderbox,1
1884,The Golden Goose,2
1884,the faraway tree ,3
1884,The Nightingale,4
1884,The Juniper Tree,5
1884,the fox,6
1885,Humpty Dumpty,1
1885,Jack ,2
1885,Mary Had a Little Lamb,3
1885,Tweedledee and Tweedledum,4
1885,The King of the Cats,5
1885,Fingolfin,6
1971,Ediacaran Period,1
1971,Cambrian Explosion,2
1971,Avalon Explosion,3
1971,Cryogenian Period,4
1971,,5
1971,,6
1972,over 70%,1
1972,Sandwich Trench,2
1972,Scandanavian Peninsula,3
1972,over 60%,4
1972,Java Trench,5
1972,Balkan Peninsula,6
1973,Doldrums,1
1973,wind speed,2
1973,Transpiration,3
1973,Trade Winds,4
1973,changes in temperature,5
1973,Advection,6
1974,geothermal,1
1974,fossils,2
1974,Joule,3
1974,biomass,4
